Step 0: x = 0, y = 0, z = 0, vx = 0, vy = 0, vz = 0, phi = 0, theta = 0, psi = 0, p = 0, q = 0, r = 0
Step 1: x = 0, y = 0, z = -0.00171675, vx = 0, vy = 0, vz = -0.2943, phi = 1.75e-07, theta = 1.84922, psi = 0, p = 3e-05, q = 317.01, r = 0
Step 2: x = 0, y = 0, z = -0.0122625, vx = 0, vy = 0, vz = -0.5886, phi = 1.25e-06, theta = 13.2087, psi = 0, p = 6e-05, q = 634.02, r = 0
Step 3: x = 0, y = 0, z = -0.0316372, vx = 0, vy = 0, vz = -0.8829, phi = 3.225e-06, theta = 34.0786, psi = 0, p = 9e-05, q = 951.03, r = 0
Step 4: x = 0, y = 0, z = -0.059841, vx = 0, vy = 0, vz = -1.1772, phi = 6.1e-06, theta = 64.4587, psi = 0, p = 0.00012, q = 1268.04, r = 0
Step 5: x = 0, y = 0, z = -0.0968737, vx = 0, vy = 0, vz = -1.4715, phi = 9.875e-06, theta = 104.349, psi = 0, p = 0.00015, q = 1585.05, r = 0
Step 6: x = 0, y = 0, z = -0.142736, vx = 0, vy = 0, vz = -1.7658, phi = 1.455e-05, theta = 153.75, psi = 0, p = 0.00018, q = 1902.06, r = 0
Step 7: x = 0, y = 0, z = -0.197426, vx = 0, vy = 0, vz = -2.0601, phi = 2.0125e-05, theta = 212.661, psi = 0, p = 0.00021, q = 2219.07, r = 0
Step 8: x = 0, y = 0, z = -0.260946, vx = 0, vy = 0, vz = -2.3544, phi = 2.66e-05, theta = 281.082, psi = 0, p = 0.00024, q = 2536.08, r = 0
Step 9: x = 0, y = 0, z = -0.333295, vx = 0, vy = 0, vz = -2.6487, phi = 3.3975e-05, theta = 359.014, psi = 0, p = 0.00027, q = 2853.09, r = 0
Step 10: x = 0, y = 0, z = -0.414473, vx = 0, vy = 0, vz = -2.943, phi = 4.225e-05, theta = 446.456, psi = 0, p = 0.0003, q = 3170.1, r = 0
Step 11: x = 0, y = 0, z = -0.504479, vx = 0, vy = 0, vz = -3.2373, phi = 5.1425e-05, theta = 543.408, psi = 0, p = 0.00033, q = 3487.11, r = 0
Step 12: x = 0, y = 0, z = -0.603315, vx = 0, vy = 0, vz = -3.5316, phi = 6.15e-05, theta = 649.871, psi = 0, p = 0.00036, q = 3804.12, r = 0
Step 13: x = 0, y = 0, z = -0.71098, vx = 0, vy = 0, vz = -3.8259, phi = 7.2475e-05, theta = 765.843, psi = 0, p = 0.00039, q = 4121.13, r = 0
Step 14: x = 0, y = 0, z = -0.827473, vx = 0, vy = 0, vz = -4.1202, phi = 8.435e-05, theta = 891.326, psi = 0, p = 0.00042, q = 4438.14, r = 0
Step 15: x = 0, y = 0, z = -0.952796, vx = 0, vy = 0, vz = -4.4145, phi = 9.7125e-05, theta = 1026.32, psi = 0, p = 0.00045, q = 4755.15, r = 0
Step 16: x = 0, y = 0, z = -1.08695, vx = 0, vy = 0, vz = -4.7088, phi = 0.0001108, theta = 1170.82, psi = 0, p = 0.00048, q = 5072.16, r = 0
Step 17: x = 0, y = 0, z = -1.22993, vx = 0, vy = 0, vz = -5.0031, phi = 0.000125375, theta = 1324.84, psi = 0, p = 0.00051, q = 5389.17, r = 0
